Name,Url,Authority,Started On,Finished On,License Number
Open Source Connect Global 2026,https://app.truscholar.io/profile?credId=69df1333a0a1d70eaf52d88e,Open Source Connect,Apr 2026,Jan 2036,69df1333a0a1d70eaf52d88e
Certificate of Participation in Google Cloud Arcade Program 2026 | Guide by Buildon of Google Cloud Arcade program,https://unstop.com/certificate-preview/4ced7b6c-cf22-4575-a6dc-fa784b015a55?utm_campaign=site-emails,Unstop,Apr 2026,,4ced7b6c-cf22-4575-a6dc-fa784b015a55
Certificate of completion: Claude 101,https://verify.skilljar.com/c/z2yqufezpj9r,Anthropic,Jun 2026,,z2yqufezpj9r
Certificate of completion: Claude code 101,https://verify.skilljar.com/c/3suwrk9miq3v,Anthropic,Jun 2026,,3suwrk9miq3v
Certificate of completion: Claude Platform 101,https://verify.skilljar.com/c/3ghx9nk24tvx,Anthropic,Jun 2026,,3ghx9nk24tvx
Certificate of Completion: Al Fluency Framework & Foundations,https://verify.skilljar.com/c/5okee2hcnpfo,Anthropic,Jun 2026,,5okee2hcnpfo
Certificate of completion: Introduction to Claude Cowork,https://verify.skilljar.com/c/utsrto6scdcd,Anthropic,Jun 2026,,utsrto6scdcd
Certificate of completion: Introduction to Claude Cowork,https://verify.skilljar.com/c/utsrto6scdcd,Anthropic,Jun 2026,,utsrto6scdcd
Certificate of Participation in Offline Round of AIQrew 2025,https://unstop.com/certificate-preview/f28ed513-e6fe-40ee-877a-9ddf7eb6ba6e?utm_campaign,Unstop,Jun 2026,,f28ed513-e6fe-40ee-877a-9ddf7eb6ba6e
MongoDB Basics for Students,https://www.credly.com/badges/aca1e7b4-554c-4f41-b267-95be08064423/linked_in_profile,MongoDB,Jul 2026,,
