ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=software engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:113776676}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",15333546668
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=internship, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:90009652}]}}, facets={}}",15333546636
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=software engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:106187582}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3, urn:li:workplaceType:2]}}}",1741836421
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=software engineer, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:105214831, radiusInKms=40.2335}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3]}}}",1741836413
