Event Name,Event Time,Status,External Url
"Bootcamp on Electronics for Unmanned Aerial Systems,Sensors,& Communication","Jun 18, 2025 04:30 AM - Jun 22, 2025 12:30 PM",RELINQUISHED,
Google Cloud India Summit: Builder Connect,"Jun 06, 2026 05:00 AM - Jun 06, 2026 06:30 AM",APPROVED,
Behind the Build: Ft. Abhinav Asthana,"Jun 10, 2026 05:00 AM - Jun 10, 2026 06:00 AM",APPROVED,https://forms.gle/qyX7CUjJ9Vfcbypj7
