School Name,Start Date,End Date,Notes,Degree Name,Activities
United Institute of Technology,Aug 2024,Aug 2028,,Bachelor of Technology,
Jwala Devi SVM Inter College Prayagraj ,Jul 2019,Apr 2023,Scored 92.67% in Class 12 (UP Board) Secured 1st Rank in the entire school in Class 11 Scored 91% in Class 10 (UP Board) Secured 5th Rank in Class 9,Intermediate & High school,
