Tested On,Name,Description,Score
Apr 2021,High school,,91%
Apr 2023,Intermediate,,92.67%
May 2025,UIT Naini 1st Year Topper (AKTU University Exam),,5th Rank
,Secured 1st Rank in CSE (Data Science) – 2nd Year  Scor,,8.5
