Title,Description,Issued On
Class 11th 1st ranker,,Mar 2022
Honored by Secretary UP Board,,Jun 2023
Honored by United Group of Institutions in Prayagraj,,Apr 2023
Awarded by Principle of JDSVMIC,.,Apr 2023
Honored by Dainik Jagran in Prayagraj,,Jul 2023
Awarded for being 1st Year Topper ,,
Secured 1st Rank in CSE (Data Science) – 2nd Year,,
Best Content Creator Award ,,
